calendar_quarter,formation_date,next_formation_date,side,ticker,cik,filed_date,report_type,max_abs_shrink,leg_weight,signed_weight
2018Q1,2018-03-30,2018-06-29,short,PCG,1004980,2018-02-09,10-K,-0.261505126953125,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,ANET,1596532,2018-02-20,10-K,-0.259765625,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,LH,920148,2018-02-27,10-K,-0.24603271484375,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,DOC,765880,2018-02-13,10-K,-0.235015869140625,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,CPT,906345,2018-02-16,10-K,-0.2323150634765625,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,REG,910606,2018-02-27,10-K,-0.22601318359375,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,KEY,91576,2018-02-26,10-K,-0.2205810546875,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,FE,1031296,2018-02-20,10-K,-0.2080078125,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,DVA,927066,2018-02-23,10-K,-0.20477294921875,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,ESS,920522,2018-02-22,10-K,-0.19818115234375,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,EFX,33185,2018-03-01,10-K,-0.19293212890625,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,CNC,1071739,2018-02-20,10-K,-0.16961669921875,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,PGR,80661,2018-02-27,10-K,-0.15655517578125,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,MOH,1179929,2018-03-01,10-K,-0.1478271484375,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,PFE,78003,2018-02-22,10-K,0.0662841796875,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,ROP,882835,2018-02-23,10-K,0.111328125,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,FFIV,1048695,2018-02-02,10-Q,0.118896484375,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,GEN,849399,2018-02-02,10-Q,0.121337890625,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,CAH,721371,2018-02-08,10-Q,0.127197265625,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,INVH,1687229,2018-03-29,10-K,0.127197265625,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,PANW,1327567,2018-02-27,10-Q,0.128662109375,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,HWM,4281,2018-02-26,10-K,0.130126953125,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,NOW,1373715,2018-02-28,10-K,0.131591796875,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,ZBRA,877212,2018-02-22,10-K,0.132568359375,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,HPE,1645590,2018-03-09,10-Q,0.133056640625,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,BEN,38777,2018-01-30,10-Q,0.133544921875,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,CPRT,900075,2018-02-27,10-Q,0.138671875,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,WFC,72971,2018-03-01,10-K,0.14013671875,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,AVY,8818,2018-02-21,10-K,0.14111328125,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,RTX,101829,2018-02-09,10-K,0.1414794921875,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,DRI,940944,2018-01-03,10-Q,0.143798828125,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,PNR,77360,2018-02-27,10-K,0.148193359375,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,NTAP,1002047,2018-02-22,10-Q,0.1484375,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,JCI,833444,2018-02-02,10-Q,0.149169921875,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,KLAC,319201,2018-01-26,10-Q,0.150390625,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,CLX,21076,2018-02-02,10-Q,0.150634765625,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,DECK,910521,2018-02-09,10-Q,0.150634765625,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,PH,76334,2018-02-08,10-Q,0.15087890625,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,CCL,815097,2018-03-22,10-Q,0.15234375,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,A,1090872,2018-03-06,10-Q,0.153076171875,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,AES,874761,2018-02-27,10-K,0.153564453125,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,ADSK,769397,2018-03-22,10-K,0.154541015625,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,BK,1390777,2018-02-28,10-K,0.1551513671875,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,EQT,33213,2018-02-15,10-K,0.157958984375,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,CZR,1590895,2018-02-27,10-K,0.16015625,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,TECH,842023,2018-02-08,10-Q,0.1602783203125,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,IPG,51644,2018-02-26,10-K,0.160400390625,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,HST,1070750,2018-02-27,10-K,0.1605224609375,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,F,37996,2018-02-08,10-K,0.16162109375,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,LRCX,707549,2018-01-30,10-Q,0.161865234375,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,WMB,107263,2018-02-22,10-K,0.161865234375,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,PTC,857005,2018-02-06,10-Q,0.162353515625,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,PARA,813828,2018-02-20,10-K,0.162841796875,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,FICO,814547,2018-01-25,10-Q,0.163330078125,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,BMY,14272,2018-02-13,10-K,0.164306640625,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,AON,315293,2018-02-20,10-K,0.164794921875,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,WBA,1618921,2018-03-28,10-Q,0.164794921875,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,COO,711404,2018-03-09,10-Q,0.1650390625,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,RF,1281761,2018-02-26,10-K,0.1658935546875,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,LDOS,1336920,2018-02-23,10-K,0.1669921875,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,EBAY,1065088,2018-02-05,10-K,0.167236328125,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,NI,1111711,2018-02-20,10-K,0.168701171875,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,PG,80424,2018-01-23,10-Q,0.1705322265625,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,K,55067,2018-02-20,10-K,0.172607421875,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,AXP,4962,2018-02-16,10-K,0.1728515625,0.01098901098901099,-0.01098901098901099
